T1, T2,class
151700,351102,1
155799,354358,2
142857,352716,3
152726,349144,4
151008,349692,5
145865,351895,6
148629,350242,7
151083,353684,8
161316,348971,1
158758,352360,1
145731,350480,1
159597,355339,1
152294,345996,1
149801,349982,1
152260,350394,1
149352,342567,1
149607,353888,1
154711,359310,1
154456,349715,1
154482,351351,1
152123,348751,1
146182,350827,1
152268,349032,1
155155,350195,1
151546,355246,1
153272,347661,1
152299,348418,1
149040,349665,1
150929,349676,1
147510,354280,1
152809,356672,1
146373,346559,1
146620,347645,1
147440,351382,1
140689,347871,1
154549,356725,1
151028,355250,1
147613,351520,1
154333,352207,1
144588,348394,1
149677,352370,1
149236,353471,1
151009,350546,1
150989,356166,1
147265,351837,1
149905,349644,1
149479,351115,1
151985,353649,1
153457,349093,1
153508,350082,1
147269,357194,1
150245,348533,1
146161,352594,1
146479,352222,1
149978,354997,1
154847,352140,1
147566,342000,1
151174,347435,1
149287,351539,1
153533,351164,1
146556,355830,1
150103,354435,1
151747,351738,1
153480,350609,1
154883,345616,1
150272,355889,1
145283,349950,1
147653,344901,1
146643,351028,1
157433,351067,1
148053,348011,1
152366,351788,1
149392,347713,1
152810,346040,1
147581,344238,1
145566,348412,1
145502,347577,1
151544,351539,1
149439,345216,1
149380,349283,1
154488,345713,1
150922,355786,1
150626,349695,1
155021,354360,1
147456,351303,1
152203,353079,1
152641,346632,1
149229,353880,1
150682,354638,1
146313,343097,1
146370,349082,1
150332,347981,1
152284,350721,1
158176,348142,1
147891,350667,1
150592,351938,1
149739,350744,1
143887,349016,1
148612,345804,1
144325,349614,1
152658,348627,1
147192,345695,1
150317,349855,1
148278,349168,1
150960,350700,1
148102,352932,1
151549,351968,1
152338,354342,1
155413,348247,1
149386,347218,1
143238,349025,1
147345,354087,1
154284,354530,1
146610,349265,1
153039,348426,1
150392,345255,1
154543,352568,1
143799,349452,1
149375,346232,1
146180,348565,1
159196,345163,1
152610,351614,1
154361,349889,1
146654,354798,1
148518,345574,1
149138,352967,1
153474,350799,1
149121,350172,1
152218,352477,1
143512,353106,1
148881,346518,1
147396,353889,1
145013,345694,1
151606,346781,1
150892,347973,1
150106,352328,1
145783,346212,1
153565,351410,1
151107,351407,1
149054,350390,1
150072,351752,1
149171,346227,1
144465,352617,1
149097,350267,1
147371,352034,1
146903,346596,1
146343,349798,1
148313,352593,1
143667,352558,1
153049,350040,1
151645,344332,1
149937,346543,1
149890,350677,1
147476,352247,1
153221,351779,1
149579,348030,1
147740,356836,1
154273,350655,1
149289,352652,1
148137,348506,1
149071,346399,1
147319,351888,1
146458,352911,1
157988,356532,1
155235,348859,1
150973,344975,1
146025,354691,1
147263,350557,1
149442,346398,1
152503,348491,1
145788,347034,1
142632,352916,1
145418,351405,1
151055,350869,1
151238,350880,1
151428,347558,1
149588,353084,1
150581,351148,1
148494,349028,1
152726,349691,1
145694,349249,1
151439,347353,1
147316,352064,1
148941,354275,1
151748,357959,1
153286,351914,1
146466,347059,1
153987,351031,1
152088,347040,1
149785,348049,1
149383,347865,1
149312,347309,1
149041,351094,1
150073,346498,1
150162,352116,1
152612,352764,1
154829,353747,1
151477,350083,1
149337,351881,1
151977,355871,1
150579,350225,1
146744,349115,1
153002,355877,1
150971,342203,1
150427,348606,1
151629,357810,1
150827,348599,1
147023,347939,1
149487,346090,1
149538,352449,1
148318,343193,1
155319,348017,1
147231,351507,1
148470,349842,1
147748,351738,1
146287,350027,1
149392,352082,1
149133,345863,1
154839,351170,1
149213,344992,1
146635,352128,1
155071,349530,1
153904,352452,1
149274,348236,1
145237,350558,1
148594,353176,1
149507,343722,1
150873,344212,1
